# y,eta,chord,ellipse,schrenk,cl
0.760761,0.190190,1.508175,1.562499,1.535337,1.018010
0.756757,0.189189,1.509009,1.562807,1.535908,1.017826
0.752753,0.188188,1.509843,1.563113,1.536478,1.017641
0.748749,0.187187,1.510677,1.563418,1.537047,1.017456
0.744745,0.186186,1.511512,1.563720,1.537616,1.017270
0.740741,0.185185,1.512346,1.564021,1.538184,1.017085
0.736737,0.184184,1.513180,1.564321,1.538750,1.016899
0.732733,0.183183,1.514014,1.564619,1.539316,1.016712
0.728729,0.182182,1.514848,1.564915,1.539881,1.016525
0.724725,0.181181,1.515682,1.565209,1.540446,1.016338
0.720721,0.180180,1.516517,1.565502,1.541009,1.016151
0.716717,0.179179,1.517351,1.565793,1.541572,1.015963
0.712713,0.178178,1.518185,1.566082,1.542133,1.015774
0.708709,0.177177,1.519019,1.566369,1.542694,1.015586
0.704705,0.176176,1.519853,1.566655,1.543254,1.015397
0.700701,0.175175,1.520687,1.566940,1.543814,1.015208
0.696697,0.174174,1.521522,1.567222,1.544372,1.015018
0.692693,0.173173,1.522356,1.567503,1.544930,1.014828
0.688689,0.172172,1.523190,1.567783,1.545486,1.014638
0.684685,0.171171,1.524024,1.568060,1.546042,1.014447
0.680681,0.170170,1.524858,1.568336,1.546597,1.014256
0.676677,0.169169,1.525692,1.568610,1.547151,1.014065
0.672673,0.168168,1.526527,1.568883,1.547705,1.013874
0.668669,0.167167,1.527361,1.569154,1.548257,1.013682
0.664665,0.166166,1.528195,1.569423,1.548809,1.013489
0.660661,0.165165,1.529029,1.569691,1.549360,1.013297
0.656657,0.164164,1.529863,1.569957,1.549910,1.013104
0.652653,0.163163,1.530697,1.570221,1.550459,1.012910
0.648649,0.162162,1.531532,1.570484,1.551008,1.012717
0.644645,0.161161,1.532366,1.570745,1.551555,1.012523
0.640641,0.160160,1.533200,1.571004,1.552102,1.012329
0.636637,0.159159,1.534034,1.571262,1.552648,1.012134
0.632633,0.158158,1.534868,1.571518,1.553193,1.011939
0.628629,0.157157,1.535702,1.571772,1.553737,1.011744
0.624625,0.156156,1.536537,1.572025,1.554281,1.011548
0.620621,0.155155,1.537371,1.572276,1.554823,1.011352
0.616617,0.154154,1.538205,1.572525,1.555365,1.011156
0.612613,0.153153,1.539039,1.572773,1.555906,1.010959
0.608609,0.152152,1.539873,1.573019,1.556446,1.010763
0.604605,0.151151,1.540707,1.573264,1.556985,1.010565
0.600601,0.150150,1.541542,1.573506,1.557524,1.010368
0.596597,0.149149,1.542376,1.573747,1.558062,1.010170
0.592593,0.148148,1.543210,1.573987,1.558598,1.009972
0.588589,0.147147,1.544044,1.574225,1.559134,1.009773
0.584585,0.146146,1.544878,1.574461,1.559670,1.009574
0.580581,0.145145,1.545712,1.574696,1.560204,1.009375
0.576577,0.144144,1.546547,1.574928,1.560737,1.009176
0.572573,0.143143,1.547381,1.575160,1.561270,1.008976
0.568569,0.142142,1.548215,1.575389,1.561802,1.008776
0.564565,0.141141,1.549049,1.575617,1.562333,1.008576
0.560561,0.140140,1.549883,1.575844,1.562863,1.008375
0.556557,0.139139,1.550717,1.576068,1.563393,1.008174
